category,layer,jaccard_top6,jsd,d_entropy,d_concentration
computational,1,0.4609126984126984,0.02684059920582345,-0.06344237674449049,0.004731494621859165
computational,3,0.548611111111111,0.03221268081065248,-0.09266514626062188,0.0036824420898766753
computational,6,0.5658730158730159,0.03865820624854418,-0.10140058720226552,-0.0010608756073783685
computational,8,0.5,0.05754020024676241,-0.1721826152934907,0.011311741390818699
computational,10,0.5569444444444445,0.05261601500208939,-0.062263863510067206,0.002004688445152843
computational,13,0.5515873015873015,0.04820041796665437,-0.02037166903640164,-0.012474199407988945
computational,15,0.42642496392496393,0.05888315867376531,-0.03883081581160628,0.001444610680261414
computational,17,0.511904761904762,0.040931544095372106,-0.02919041630566453,-0.0016376596322131996
computational,20,0.6279761904761905,0.04635112466852818,-0.06834252852358151,0.01054275794395732
computational,22,0.5535894660894661,0.038993252456043084,-0.08384349469153131,0.009940505218745925
computational,24,0.5099206349206349,0.04707685710770695,-0.07381066075321258,0.010152135643388857
computational,27,0.5712301587301587,0.04231244893628355,-0.03152695512576755,-0.008104406529957142
computational,29,0.628968253968254,0.03626632278213126,-0.08125580206277405,-0.007023201965099404
computational,31,0.5662698412698413,0.040051215972184716,-0.03200010287205194,-0.006154943265633826
computational,34,0.6011904761904762,0.033999289287743754,-0.030782822469595,-0.003133037110217346
computational,36,0.5311507936507937,0.04758470495888253,-0.05813417880355023,-0.006655362602851459
computational,38,0.5773809523809524,0.04660191144572567,-0.04799288752376716,-0.0007208663876345587
computational,40,0.5609126984126984,0.04444615940424133,-0.05912225869993576,0.0014498566706872933
computational,43,0.6988095238095239,0.05006419994691897,-0.1455592125553313,0.00787881509932181
computational,45,0.5357142857142857,0.047698688205870615,-0.12023979580335203,0.0038363025950734707
computational,47,0.5797619047619048,0.04787238747526581,-0.08153248056281415,-0.001392753903115677
computational,49,0.42977994227994226,0.062462314282160473,-0.18407798309415657,0.002217663714297488
computational,51,0.5009920634920635,0.04672669648336933,-0.06744568153257464,-0.0039009479535224187
creative,1,0.27626262626262627,0.026708493691827314,-0.014312628018553855,-0.001116102463714145
creative,3,0.39166666666666666,0.0334005196677352,-0.014465407114885975,0.002604589829448516
creative,6,0.5297619047619048,0.0408103511308615,-0.006602647292608177,0.002852859139847738
creative,8,0.626984126984127,0.055397525334840575,-0.04708398323167832,-0.007835975408691402
creative,10,0.6130952380952381,0.04964615744790299,-0.013849392851941941,0.008588912471642656
creative,13,0.621031746031746,0.0456637374765298,-0.08845797019315582,0.015608774637251188
creative,15,0.7380952380952381,0.04279331902416256,0.05798898415474529,0.00020482040872575832
creative,17,0.6904761904761906,0.03692234338290431,0.0033554109682493913,-0.0038124362293439854
creative,20,0.6535714285714286,0.04403295687630155,-0.04224747313235788,0.011368487298668259
creative,22,0.5353174603174603,0.037166488250251116,0.011480502520825886,-0.009668878607990485
creative,24,0.6666666666666666,0.045820611916232774,0.025584998128804586,-0.006635684113096591
creative,27,0.5833333333333334,0.04400145772406457,0.025208524944061745,-0.005224761828109502
creative,29,0.5674603174603174,0.035642817210384016,-0.05014305241198976,0.004232220219487494
creative,31,0.625,0.039815119024066016,0.028748920509116187,-0.012849375383846959
creative,34,0.5892857142857143,0.04222347339756685,0.010028607560365463,0.008278562816778945
creative,36,0.6654761904761904,0.041847498562734925,-0.04377318014617474,0.010752621530740384
creative,38,0.4913059163059163,0.053008341078095766,-0.0036730554077309963,-0.002530635685175467
creative,40,0.6059523809523809,0.04728611217426456,-0.02487936549021989,-0.003166698263133728
creative,43,0.5722222222222223,0.05080831623071488,-0.04687759180594605,0.015151951557788234
creative,45,0.3666666666666667,0.0474348486439325,-0.030731689911294158,0.000828123468599976
creative,47,0.4369047619047619,0.051301782707912615,0.05165441868688103,-0.0073601119367034465
creative,49,0.551984126984127,0.04950662663924995,-0.013137127052796535,0.0012883417700508138
