layer,expert,total_mass,selectivity,top_category,share_computational,share_creative,share_factual,share_reasoning,share_social_ethical,share_symbolic
1,0,1283.8399658203125,0.27096284121550407,factual,0.037667664364061326,0.04434034212662913,0.27096284121550407,0.2106951867590067,0.18746375585860783,0.24887020967619095
1,1,1317.0478515625,0.2897847636574756,reasoning,0.10853797518568473,0.046446205373197186,0.22392007382158696,0.2897847636574756,0.1266350525003763,0.20467592946167928
1,2,2510.4337158203125,0.35571727428783184,symbolic,0.07520682845466282,0.07287549379486677,0.1764446166640563,0.2497959079278167,0.06995987887076557,0.35571727428783184
1,3,1871.3585205078125,0.44277907177670384,reasoning,0.03521709382329705,0.02381271856820365,0.10598819882546631,0.44277907177670384,0.08962086458407602,0.30258205242225317
1,4,2434.615478515625,0.370507566797046,symbolic,0.08999782896125573,0.08291407550100605,0.16445046897946639,0.22433578999988468,0.06779426976134117,0.370507566797046
1,5,1931.6156005859375,0.3581127030525863,symbolic,0.1265430953826184,0.05898667165493486,0.2030486997588126,0.18708318706100527,0.06622564309004256,0.3581127030525863
1,6,1528.7410888671875,0.3106667836738559,symbolic,0.08258165663175641,0.07015432731898813,0.20624425527572401,0.20767900403139805,0.12267397306827744,0.3106667836738559
1,7,1865.8818359375,0.3426060090136251,symbolic,0.05975373469837433,0.045723526336146146,0.24779101547473312,0.19244321212060944,0.11168250235651185,0.3426060090136251
1,8,1954.126220703125,0.26899829225043514,symbolic,0.13735608783547334,0.058004640371229696,0.20707703463512017,0.16807284165954428,0.1604911032481974,0.26899829225043514
1,9,1623.9803466796875,0.34071018270403597,symbolic,0.08100590762818646,0.0690658734405686,0.14706155387315975,0.2748912384701729,0.08726524388387635,0.34071018270403597
1,10,1664.29443359375,0.32677135669177565,symbolic,0.06851920580318177,0.03339660698699565,0.17990112880393724,0.27547598266086737,0.11593571905324229,0.32677135669177565
1,11,1434.631103515625,0.2529570309222771,symbolic,0.0761382814104712,0.04123514847651963,0.23316217539454165,0.21335710927157783,0.18315025452461256,0.2529570309222771
1,12,1988.7431640625,0.453744414976285,symbolic,0.04177983209205327,0.05504829919178894,0.13930359007951493,0.21308059326099585,0.09704327039936203,0.453744414976285
1,13,1754.61572265625,0.3564163076572867,symbolic,0.11967959508584083,0.05426507595897317,0.1917657612329979,0.18748638148321406,0.09038687858168731,0.3564163076572867
1,14,1894.6526489257812,0.324495250610391,symbolic,0.0774004204434194,0.04904994973099178,0.19951369739870728,0.264361732748504,0.08517894906798659,0.324495250610391
1,15,1392.869384765625,0.3220226730278888,symbolic,0.05069591861309512,0.042643430292366974,0.16554707264066265,0.31108851181721636,0.10800239360877012,0.3220226730278888
1,16,1425.972900390625,0.32606045249054705,symbolic,0.05522922004490835,0.052659188790547845,0.22947480518457708,0.25874159038553896,0.07783474310388074,0.32606045249054705
1,17,1334.254150390625,0.23728254077460542,reasoning,0.08883617057677758,0.05159772776552326,0.21840888692897942,0.23728254077460542,0.2040232529841604,0.19985142096995392
1,18,1648.01416015625,0.24972912178571927,symbolic,0.08415142455126953,0.07961286266348615,0.23876318355454437,0.21996022082685335,0.12778318661812735,0.24972912178571927
1,19,1585.19287109375,0.35636921584179765,symbolic,0.056249778606026535,0.042211167497054496,0.2063035292124535,0.21627642288944163,0.12258988595322619,0.35636921584179765
1,20,2327.175048828125,0.3015378863166588,symbolic,0.04999533681371038,0.04650880513430973,0.24588414798865602,0.23658284855953704,0.11949097518712805,0.3015378863166588
1,21,1685.1058959960938,0.3444809123186378,symbolic,0.10032723291779516,0.049195880657508344,0.2037080602091183,0.21684294214430014,0.08544497175264024,0.3444809123186378
1,22,1248.0189208984375,0.2577333745053562,factual,0.08438080234778342,0.06440578530172478,0.2577333745053562,0.2516650656592367,0.13863475619710183,0.2031802159887971
1,23,1588.9625854492188,0.31055326541357403,symbolic,0.0787644011693674,0.05058216579881901,0.2165743121677198,0.23176389647471612,0.11176195897580365,0.31055326541357403
1,24,1486.6718139648438,0.30152899516377435,symbolic,0.0922544561086421,0.05194232558987366,0.25245521619076994,0.18759755412995624,0.11422145281698372,0.30152899516377435
1,25,1323.865478515625,0.31453486946093473,factual,0.06145260359834196,0.08262335103040948,0.31453486946093473,0.26674953661126044,0.16071700912835707,0.11392263017069634
1,26,1883.1015625,0.32291262596613796,symbolic,0.05505437183917822,0.07049015037110486,0.26277306492364244,0.16483750420059992,0.12393228269933662,0.32291262596613796
1,27,2450.8285522460938,0.30102971344965523,symbolic,0.10209726835494265,0.06454300434261522,0.1969782620200165,0.24846348623282022,0.08688826559995019,0.30102971344965523
1,28,812.5001220703125,0.30112976245045636,factual,0.07631909911071227,0.07599247656363033,0.30112976245045636,0.1639529501272611,0.2136090424265261,0.16899666932141386
1,29,1957.27587890625,0.41502446924673336,symbolic,0.05896693053088923,0.05146605925756286,0.1316076757870336,0.2300121666428423,0.11292269853493862,0.41502446924673336
1,30,1640.5267333984375,0.256119209521106,symbolic,0.06316419993905885,0.0719532680342833,0.20673901971063,0.24847522489256238,0.15354907790235947,0.256119209521106
1,31,1933.22021484375,0.32057082997094133,symbolic,0.04148541321745236,0.051740866606806615,0.26320873855681715,0.1853963581348417,0.1375977935131408,0.32057082997094133
1,32,1724.9168090820312,0.3268050638056912,symbolic,0.06305982331787754,0.04720541571068323,0.20964280256241127,0.2534979873526934,0.09978890725064335,0.3268050638056912
1,33,1963.2538452148438,0.30634269137573455,symbolic,0.17534180786384956,0.02689079517655175,0.19849122446278675,0.20930865684648964,0.08362482427458774,0.30634269137573455
1,34,1216.0888671875,0.24974764610226657,symbolic,0.04670424203489189,0.0923040091546044,0.19192778703499228,0.24484732288048824,0.17446899279275663,0.24974764610226657
1,35,1354.0081176757812,0.3313838412601403,symbolic,0.03456773416995773,0.04169595758109119,0.23680570052319977,0.21728971362287053,0.13825705284274042,0.3313838412601403
1,36,2239.6990966796875,0.36305841385924004,symbolic,0.07687974704069167,0.05898368807062934,0.20936296079899214,0.22911522832804154,0.0625999619024053,0.36305841385924004
1,37,1591.76220703125,0.3706382869074756,symbolic,0.04261503854838556,0.07136052656361534,0.1721520622074898,0.22875076420376025,0.11448332156927345,0.3706382869074756
1,38,1665.1972045898438,0.29525428871473386,symbolic,0.14446443154904165,0.057655227833749365,0.18569434992446282,0.19640986444432643,0.12052183753368585,0.29525428871473386
1,39,1047.0072021484375,0.3056908741584989,symbolic,0.0711535611815812,0.07316450126459077,0.2032976712479056,0.19887810342980242,0.14781528871762112,0.3056908741584989
1,40,2508.5869140625,0.32167948137510494,symbolic,0.05442867525721224,0.06325889240588868,0.16493704436285836,0.2917884488940915,0.10390745770484426,0.32167948137510494
1,41,1889.874755859375,0.2643534165869282,symbolic,0.12413991244201114,0.059537959730146015,0.2520419066088596,0.17157731884049546,0.12834948579155958,0.2643534165869282
