layer,corpus_entropy,corpus_active_experts,mean_unique_experts,mean_entropy,mean_concentration,top1_share
1,4.819828728453152,128,125.63963963963964,4.66225310424305,0.025484745682189343,0.013382483491935361
3,4.80265187845139,128,124.34234234234235,4.57568477404181,0.035457966110818875,0.021405007340690098
6,4.761769499920203,128,121.44144144144144,4.423629008391477,0.053989837446334225,0.016263764375079183
8,4.693921906465854,128,111.62162162162163,4.062042179747198,0.10013402310250569,0.03132050767340314
10,4.648430202344,128,107.4054054054054,3.911842625935591,0.1216823017936726,0.04914019605135246
13,4.625139138845003,128,104.10810810810811,3.8832716042361515,0.11203850789719882,0.03315055562757375
15,4.652256900048761,128,110.2072072072072,3.9837423542917363,0.10804575979192074,0.06031448160832551
17,4.513800086122474,128,99.69369369369369,3.9327197964179734,0.09599141832256064,0.03365288648075779
20,4.655825062689124,128,106.46846846846847,3.930114816954691,0.10759283613326462,0.03186357945833107
22,4.679508560750309,128,117.56756756756756,4.280754147156135,0.07309455034008025,0.04304371533540401
24,4.621825681128729,128,106.92792792792793,3.9563866206646106,0.10280635226548947,0.03396770735485858
27,4.694452581782661,128,109.50450450450451,4.10005260153473,0.09282643886238122,0.02425121622921162
29,4.658974617500397,128,113.47747747747748,4.170821420458804,0.08910991758020825,0.03848263400587234
31,4.663806343958385,128,115.38738738738739,4.143919778916104,0.1030717363770851,0.033607291762038284
34,4.640663464240652,128,112.58558558558559,4.093207849881318,0.10335773692001138,0.030555243225645675
36,4.677751874967766,128,114.0,4.095072896270941,0.10569104462182434,0.023963191186736146
38,4.690521415483664,128,112.68468468468468,4.0370953490675925,0.10476764250972585,0.02624659043629071
40,4.63589298200767,128,111.92792792792793,4.024263398125945,0.10791868452187663,0.0262452545068696
43,4.633381766598471,128,113.29729729729729,4.055566418982395,0.10180253213691465,0.03298088929513908
45,4.706416903977602,128,117.33333333333333,4.214864365112002,0.08118442767815531,0.02731934062635434
47,4.708450827823862,128,118.15315315315316,4.272857749389532,0.07913410523989127,0.026068741429606312
49,4.631042649216887,128,115.48648648648648,4.194469106681725,0.07667281034891579,0.03164316252906837
51,4.754689449791767,128,122.62162162162163,4.4686343726073865,0.04209938039485057,0.018185360261581192
