category,layer,jaccard_top6,jsd
computational,1,0.10545454545454545,0.05823284622477303
computational,3,0.27769841269841267,0.07292136599665136
computational,6,0.23328282828282826,0.07934377935398386
computational,8,0.16777777777777778,0.1485109373243058
computational,10,0.15953102453102455,0.18867237358349995
computational,13,0.2207792207792208,0.16993932230079345
computational,15,0.22014430014430014,0.14837631722392924
computational,17,0.3572727272727273,0.11508764983865742
computational,20,0.3789466089466089,0.15234091985412512
computational,22,0.2751443001443002,0.10146702145919498
computational,24,0.23335497835497834,0.1456570975460983
computational,27,0.30606060606060603,0.11305833229142111
computational,29,0.39254689754689753,0.09485391082933102
computational,31,0.26126984126984126,0.1114409351111627
computational,34,0.2721067821067821,0.12414677887035722
computational,36,0.25027417027417026,0.13455113769083987
computational,38,0.20407647907647908,0.14817463398676745
computational,40,0.15434343434343434,0.14081374892164328
computational,43,0.24301587301587302,0.1356539587770609
computational,45,0.1421067821067821,0.1367472890713339
computational,47,0.2981168831168831,0.10025271609049927
computational,49,0.14831890331890332,0.13091404921473526
computational,51,0.2726767676767677,0.07159877501775846
creative,1,0.08510101010101011,0.05554165235875644
creative,3,0.1735858585858586,0.07484204789963815
creative,6,0.1903030303030303,0.10450940151153694
creative,8,0.3732900432900433,0.15088434419157098
creative,10,0.265945165945166,0.1942936666210032
creative,13,0.4294588744588745,0.1790128317519604
creative,15,0.3485281385281385,0.17679403201603786
creative,17,0.31857864357864357,0.17552353186004893
creative,20,0.2822150072150072,0.19086894269385857
creative,22,0.24315295815295815,0.13452310797418068
creative,24,0.3551010101010101,0.19069058164854305
creative,27,0.19466810966810968,0.1725451703252574
creative,29,0.25352092352092354,0.13782819851564562
creative,31,0.26476911976911977,0.13648418112048474
creative,34,0.272020202020202,0.1558311094637475
creative,36,0.28577922077922074,0.15489202198237573
creative,38,0.20537518037518038,0.20152158942472304
creative,40,0.24274891774891777,0.16379459505664068
creative,43,0.19744588744588745,0.16323014395899874
creative,45,0.15823232323232322,0.14230409696487964
creative,47,0.16725829725829727,0.11765517954093176
creative,49,0.1869191919191919,0.1354945293535629
creative,51,0.19055555555555556,0.0963588648429666
factual,1,0.049494949494949494,0.05192394712443583
factual,3,0.06616161616161616,0.07951536290495816
factual,6,0.11126262626262626,0.13605800290289194
factual,8,0.057373737373737375,0.26882823503237624
factual,10,0.04101010101010102,0.2813211631765523
factual,13,0.120995670995671,0.2877402490027078
factual,15,0.13705627705627704,0.2506032819885608
factual,17,0.16272727272727272,0.22008650154216344
