category,layer,jaccard_top6,jsd,d_entropy,d_concentration
computational,1,0.5169011544011545,0.021436118579029672,-0.048312480069980346,0.0025284182453009507
computational,3,0.6567460317460317,0.023114513854697937,-0.05744430700884939,0.003062385108238174
computational,6,0.6696428571428572,0.025470434434776437,-0.043877693849932044,-0.0015365964869328665
computational,8,0.576388888888889,0.03555595836219519,-0.11150862425245898,0.008161775827450028
computational,10,0.6253968253968254,0.03611323977457585,-0.04851148271595964,0.002800393493929134
computational,13,0.6349206349206349,0.032793712469901905,-0.03785233245679468,-0.0037685159922510644
computational,15,0.5488095238095237,0.038285053883442124,-0.06336718545454872,0.0050738706414060405
computational,17,0.6329365079365079,0.031059928123827418,-0.03214441579356584,0.0003525204907082573
computational,20,0.7043650793650794,0.032564564659033,-0.04639920492603481,0.004591473746476127
computational,22,0.6396825396825397,0.0290863588615749,-0.05466385742641533,0.008040061571554171
computational,24,0.5628968253968254,0.03587689804576807,-0.062150753694904436,0.005382778389357457
computational,27,0.6115079365079364,0.03331184933050426,-0.051051327992262883,-0.005617362575441101
computational,29,0.5942460317460317,0.030236529739888742,-0.07816021661123035,0.0005950591314479618
computational,31,0.5698412698412698,0.03133548265234058,-0.01808403123793954,-0.002612012236923733
computational,34,0.628968253968254,0.02951426010499741,-0.03186002307434425,0.001532369281486418
computational,36,0.6005952380952381,0.034556979115694886,-0.04630610562162627,-0.0027877460827450094
computational,38,0.6408730158730159,0.030796668743125283,-0.04522016880638585,0.004097823958477497
computational,40,0.5450396825396825,0.031162961388747,-0.05485059266570066,0.006097526258452862
computational,43,0.6825396825396824,0.03155063703917849,-0.07084067600528214,0.005143807178628765
computational,45,0.628968253968254,0.03125476122570398,-0.06407860513686554,0.004641663279855056
computational,47,0.7073412698412698,0.029827423735633473,-0.05064283253219085,-0.0012123188154189405
computational,49,0.566468253968254,0.03849487388986962,-0.12476708002376724,0.005707052978128455
computational,51,0.5251984126984127,0.02794146974306406,-0.04370193973649853,0.0023146004954135288
creative,1,0.25725108225108223,0.027789643654432997,0.0036691142957642566,-0.0024974811582890856
creative,3,0.35833333333333334,0.03177480959646172,0.01764608481041341,-0.0029697248581871485
creative,6,0.478968253968254,0.04028521535428912,0.005361910363252213,0.003357494690859867
creative,8,0.6376984126984128,0.04756682180382207,-0.002258235239464853,-0.003703172806646098
creative,10,0.6091269841269841,0.04656712426244037,0.036541105650033545,0.0011572087676050072
creative,13,0.7043650793650794,0.03994479852527586,-0.0010232923677734689,0.010103986521722836
creative,15,0.6416666666666667,0.048298267492641524,0.08471220801180557,-0.012762955345264214
creative,17,0.6587301587301587,0.04498854499441337,0.049820371561595765,-0.011880603320848301
creative,20,0.6515873015873016,0.050087510732919255,0.028691611228395697,-0.0006794772399823014
creative,22,0.47067099567099563,0.03695534513427901,0.04660036263892494,-0.010266259222194922
creative,24,0.628968253968254,0.0540471794222566,0.03711553574552943,0.005010863016995583
creative,27,0.5861111111111111,0.049182260678152685,0.04698003309648254,-0.005055630827382254
creative,29,0.5186507936507937,0.03766296787697817,-0.020007012098432326,-0.0015687442264502582
creative,31,0.5297619047619048,0.04274103500985837,0.08016259218137634,-0.015551890771415472
creative,34,0.4908730158730159,0.04485232000978601,0.0504338321421817,0.005411216012271247
creative,36,0.6436507936507937,0.043114143807370046,-0.00580209344425886,0.010057061423127742
creative,38,0.5174603174603175,0.05162150193677725,0.07169921412457807,-0.009038095198467471
creative,40,0.5163059163059164,0.04125595477387186,0.0648068136984371,-0.012013093153048993
creative,43,0.6226551226551226,0.04421950875124228,-0.0251787558542651,0.014923553488144599
