layer,corpus_entropy,corpus_active_experts,mean_unique_experts,mean_entropy,mean_concentration,top1_share
1,4.828062300688183,128,126.91891891891892,4.686960646364593,0.023851105556097166,0.011526444821877185
3,4.820888412530561,128,126.34234234234235,4.614030540316001,0.032793107444138186,0.014456336599992311
6,4.789897589197358,128,124.02702702702703,4.461231062708628,0.05515608629391051,0.01623319454151315
8,4.753481115862279,128,116.94594594594595,4.156889569793844,0.09474267838224526,0.027843225400158763
10,4.709906657352391,128,110.58558558558559,3.9557911281972804,0.11753742425871101,0.04238227799404483
13,4.6900850731630275,128,106.92792792792793,3.926744237400367,0.11219148282281159,0.03588974010208786
15,4.710676810224908,128,111.8108108108108,4.023897828590416,0.10233674783314455,0.04326130944385172
17,4.5501239228656445,128,103.35135135135135,3.9692233586820915,0.09258992991761231,0.026224094685432815
20,4.676322326431089,128,108.21621621621621,3.968099729880335,0.103595222334247,0.027590213863458994
22,4.706126619167357,128,119.8018018018018,4.318386304155236,0.06862657943258947,0.03597475979330203
24,4.670948643127466,128,108.77477477477477,3.994332519479252,0.09786095086027342,0.03014111850525336
27,4.708157615956838,128,111.85585585585585,4.114461512622396,0.09286444112978876,0.02296962912604185
29,4.690997119874425,128,116.63963963963964,4.212511494762514,0.0903188311623427,0.030045820484201194
31,4.701324991868998,128,117.94594594594595,4.169224658470947,0.10652424774892585,0.031004382568906412
34,4.642908371774045,128,113.96396396396396,4.08927812583867,0.10709200549286534,0.03309612756443941
36,4.6997568218271155,128,116.85585585585585,4.105333914765122,0.11137854060372931,0.021269910037908034
38,4.714090198479715,128,114.62162162162163,4.055578464900237,0.10863512253001774,0.022858748904206236
40,4.684841616719183,128,114.83783783783784,4.051355537260508,0.1117936361782326,0.02965651747188728
43,4.677231206484675,128,116.97297297297297,4.114557043244313,0.09823821125670612,0.02760929927043504
45,4.748894535191008,128,119.94594594594595,4.267294351338155,0.08069465912349683,0.020756468968145682
47,4.718261237539091,128,121.35135135135135,4.296158901147151,0.08200738683524483,0.026101986488367084
49,4.699715402515698,128,119.94594594594595,4.271712813564737,0.0794336284386843,0.03273582254471039
51,4.764366817190645,128,124.31531531531532,4.4987541219113,0.045948226430767014,0.024863853262547333
